index,CorruptionControl,GovEffectiveness,PoliticalStability,RuleLaw,RegulatoryQuality,VoiceAccountability
105,"-0,97","-0,64","0,81","-0,83","-0,93","-1,63"
106,"0,70","0,70","0,59","1,04","1,17","0,99"
107,"-1,23","-1,58","-1,52","-1,17","-1,01","-0,65"
108,"-0,51","-0,95","-0,31","-0,48","-0,59","0,03"
109,"-0,89","-1,36","-0,12","-1,03","-0,92","0,05"
110,"-1,53","-1,64","-2,17","-1,77","-1,95","-1,39"
111,"1,71","1,63","1,61","1,71","1,62","1,40"
112,"0,78","1,05","0,74","1,27","1,34","1,07"
113,"1,93","1,91","1,05","1,75","1,93","1,63"
114,"0,85","1,09","1,07","0,78","1,79","-0,51"
115,"-1,00","-1,02","-0,69","-0,97","-0,80","-0,32"
116,"-0,60","-0,86","-0,24","-0,16","-0,77","0,08"
117,"0,30","0,88","0,17","0,57","0,66","0,09"
118,"-0,40","-0,13","0,53","-0,08","-0,67","-0,14"
119,"-0,86","-1,14","-2,73","-0,98","-0,68","-1,01"
120,"0,11","0,40","0,86","0,70","0,69","0,91"
121,"0,41","0,07","1,18","0,68","-0,42","1,13"
123,"-0,82","-0,76","-0,50","-0,64","-1,00","-0,66"
124,"0,45","0,71","0,78","0,81","1,06","0,62"
125,"-1,02","-0,20","-0,63","-0,81","-0,17","-0,12"
126,"0,78","0,23","1,08","0,64","-0,58","1,09"
127,"-0,28","-0,16","-0,68","-0,15","0,11","0,24"
128,"1,25","2,02","1,18","1,48","1,35","0,65"
129,"-0,49","-0,47","0,59","-0,18","-0,18","0,25"
130,"-0,08","0,25","0,07","-0,04","0,37","0,34"
131,"-0,54","-0,04","-0,37","-0,13","-0,06","-0,49"
132,"-0,83","-0,72","-1,27","-1,03","-0,71","-0,59"
133,"-1,22","-1,75","-2,13","-1,62","-1,44","-1,84"
134,"0,11","0,03","0,54","0,45","-0,06","0,58"
135,"0,59","-0,07","0,98","-0,02","0,01","0,64"
136,"-0,51","-0,81","-0,23","-0,46","-0,66","-0,02"
137,"1,87","1,63","0,66","1,64","1,79","1,56"
139,"2,08","1,53","1,36","1,71","1,91","1,69"
140,"-1,39","-1,08","-0,13","-1,28","-0,88","-1,39"
141,"-0,56","-0,64","-1,67","-0,71","-0,82","-0,70"
142,"-1,04","-0,85","-1,77","-0,89","-0,94","-0,55"
144,"-0,35","-0,05","0,17","-0,17","0,43","0,16"
145,"2,11","1,80","0,89","1,83","1,60","1,78"
146,"0,22","0,27","0,59","0,61","0,43","-1,00"
147,"-1,00","-0,58","-1,93","-0,86","-0,90","-0,96"
148,"0,59","0,44","1,08","0,94","0,40","1,09"
149,"-0,63","-0,21","0,21","-0,35","0,12","0,55"
150,"-0,66","-0,80","-0,48","-0,54","-0,64","0,01"
151,"-1,06","-0,46","0,08","-0,58","-0,08","0,04"
152,"-0,72","-0,49","-0,52","-0,54","0,29","0,06"
153,"-0,54","0,15","-0,57","-0,42","0,16","-0,02"
154,"0,57","0,42","0,56","0,46","0,78","0,63"
155,"0,70","0,99","0,71","1,07","0,76","1,21"
156,"0,02","-0,39","0,51","0,49","0,64","0,45"
157,"0,70","1,20","0,99","0,93","0,98","-0,97"
158,"0,04","-0,09","0,37","0,44","0,32","0,50"
159,"-1,10","-0,71","-1,13","-1,19","-1,12","-1,29"
160,"0,67","0,39","0,11","0,21","0,12","-0,90"
162,"0,73","0,49","1,10","0,90","-0,27","1,02"
163,"1,25","1,20","1,18","1,48","0,93","1,25"
164,"0,54","0,80","-0,21","0,41","0,52","-1,42"
165,"0,06","0,07","-0,14","-0,27","-0,35","0,13"
166,"-0,45","0,01","-0,04","-0,07","0,14","-0,06"
167,"1,63","0,62","0,76","0,43","0,21","0,56"
168,"-0,57","-1,16","-0,24","-0,83","-1,06","-0,30"
169,"2,04","2,32","1,42","1,75","2,31","-0,07"
170,"0,29","0,23","0,57","0,60","0,60","0,91"
171,"0,78","1,04","0,82","1,04","0,73","1,08"
172,"-0,13","-0,73","0,45","-0,26","-0,78","0,34"
173,"-1,73","-1,98","-2,38","-2,21","-1,88","-1,66"
174,"-0,28","-0,26","-0,67","0,09","-0,22","0,74"
175,"-1,97","-2,33","-2,19","-2,14","-2,12","-1,68"
176,"0,63","0,75","0,29","0,82","0,69","1,19"
177,"-0,38","-0,25","-0,51","-0,09","-0,51","-0,23"
178,"0,41","0,38","0,92","0,48","0,54","0,77"
179,"0,54","0,07","1,02","0,61","0,40","0,86"
180,"0,74","0,07","1,02","0,57","0,32","0,83"
181,"-1,50","-1,98","-2,47","-1,67","-1,60","-1,60"
182,"-0,40","-0,97","0,41","-0,06","-0,73","0,35"
183,"2,03","1,60","0,76","1,60","1,72","1,57"
184,"2,02","2,13","1,07","1,76","1,73","1,67"
185,"-1,75","-1,79","-2,75","-2,04","-1,81","-1,85"
186,"0,36","-0,90","0,44","-0,69","-0,94","0,25"
187,"1,20","1,48","0,76","1,26","1,45","1,10"
188,"-1,38","-0,77","-0,47","-1,28","-1,18","-1,63"
189,"-0,32","-0,46","-0,05","-0,37","-0,59","-0,53"
190,"-0,49","0,17","-0,28","0,24","0,16","-0,45"
191,"-0,23","-0,84","0,26","-0,83","-0,49","0,43"
192,"-0,62","-0,58","-0,95","-0,53","-0,49","-0,78"
193,"-0,31","-0,12","1,09","0,55","-0,39","0,87"
194,"-0,37","-0,04","0,40","-0,28","-0,13","0,62"
195,"-0,34","-0,30","-0,63","-0,14","-0,62","-0,21"
196,"-1,42","-1,21","-0,11","-1,49","-2,07","-1,88"
197,"0,65","-0,45","1,19","1,01","-0,19","1,22"
198,"-0,50","-0,25","-1,01","-0,51","-0,23","-0,86"
199,"-1,04","-0,55","-0,70","-0,47","-0,52","-0,70"
200,"-0,69","-0,36","-1,43","-0,89","-0,27","-0,10"
201,"1,07","1,60","0,68","0,88","1,04","-1,09"
202,"1,48","1,16","0,51","1,40","1,54","1,26"
203,"1,12","1,22","0,03","1,33","1,39","0,88"
204,"1,57","0,85","0,96","0,72","0,68","1,28"
205,"-0,81","-0,28","-0,15","-0,83","-0,58","-1,31"
206,"-0,01","-0,57","0,93","0,14","-0,12","0,63"
207,"-1,69","-1,60","-1,19","-2,15","-2,03","-1,53"
208,"-0,42","0,13","-0,04","-0,09","-0,38","-1,24"
210,"-0,68","-1,21","-1,87","-0,68","-0,28","-1,12"
211,"-1,65","-2,28","-2,56","-1,84","-1,84","-1,55"
212,"-0,48","-0,66","0,20","-0,53","-0,50","-0,05"
213,"-1,26","-1,17","-0,93","-1,28","-1,34","-1,09"
