codeindyr;code;countryname;year;indicator;estimate;stddev;nsource;pctrank;pctranklower;pctrankupper
MACva2023;MAC;Macao;2023;va;-0,51;0,20;1;33,8;25,0;40,7
MDGva2023;MDG;Madagascar;2023;va;-0,32;0,12;13;37,7;33,3;41,2
MWIva2023;MWI;Malawi;2023;va;0,08;0,12;13;50,0;41,7;56,9
MYSva2023;MYS;Malaysia;2023;va;0,09;0,12;11;51,0;42,2;56,9
MDVva2023;MDV;Maldives;2023;va;-0,14;0,20;5;41,2;34,8;54,4
MLIva2023;MLI;Mali;2023;va;-1,01;0,12;13;20,6;15,7;25,0
MLTva2023;MLT;Malta;2023;va;0,91;0,11;8;77,0;69,6;84,3
MHLva2023;MHL;Marshall Islands;2023;va;1,13;0,29;1;86,3;69,1;97,1
MTQva2023;MTQ;Martinique;2023;va;..;..;..;..;..;..
MRTva2023;MRT;Mauritania;2023;va;-0,66;0,12;11;30,4;25,0;34,8
MUSva2023;MUS;Mauritius;2023;va;0,62;0,12;10;66,7;60,8;72,5
MEXva2023;MEX;Mexico;2023;va;-0,12;0,12;13;42,2;38,2;50,5
FSMva2023;FSM;Micronesia;2023;va;1,09;0,29;1;83,8;66,2;96,6
MDAva2023;MDA;Moldova;2023;va;0,24;0,12;10;55,9;47,5;61,3
MCOva2023;MCO;Monaco;2023;va;0,65;0,29;1;69,6;53,9;86,3
MNGva2023;MNG;Mongolia;2023;va;0,25;0,13;11;56,4;48,5;61,8
MNEva2023;MNE;Montenegro;2023;va;0,34;0,13;9;58,3;51,5;64,2
MARva2023;MAR;Morocco;2023;va;-0,49;0,12;12;34,3;29,9;38,7
MOZva2023;MOZ;Mozambique;2023;va;-0,59;0,12;14;31,9;26,0;36,3
MMRva2023;MMR;Myanmar;2023;va;-1,84;0,13;9;2,5;0,0;4,4
NAMva2023;NAM;Namibia;2023;va;0,58;0,12;11;66,2;60,3;72,1
NRUva2023;NRU;Nauru;2023;va;0,64;0,29;1;68,6;53,4;85,8
NPLva2023;NPL;Nepal;2023;va;-0,02;0,13;10;46,1;39,2;53,9
NLDva2023;NLD;Netherlands;2023;va;1,56;0,11;9;96,6;92,6;99,5
ANTva2023;ANT;Netherlands Antilles;2023;va;..;..;..;..;..;..
NZLva2023;NZL;New Zealand;2023;va;1,69;0,13;10;99,5;94,6;100,0
NICva2023;NIC;Nicaragua;2023;va;-1,39;0,13;10;10,3;5,9;15,7
NERva2023;NER;Niger;2023;va;-0,70;0,12;13;29,9;24,5;33,8
NGAva2023;NGA;Nigeria;2023;va;-0,55;0,12;14;32,4;27,5;36,8
NIUva2023;NIU;Niue;2023;va;..;..;..;..;..;..
MKDva2023;MKD;North Macedonia;2023;va;0,16;0,13;9;53,4;45,1;59,3
NORva2023;NOR;Norway;2023;va;1,78;0,14;9;100,0;96,1;100,0
OMNva2023;OMN;Oman;2023;va;-1,00;0,13;6;21,1;15,2;26,0
PAKva2023;PAK;Pakistan;2023;va;-0,96;0,13;10;23,0;16,7;27,5
PLWva2023;PLW;Palau;2023;va;1,09;0,29;1;83,8;66,2;96,6
PANva2023;PAN;Panama;2023;va;0,55;0,13;10;64,2;57,8;71,1
PNGva2023;PNG;Papua New Guinea;2023;va;0,01;0,13;9;47,1;40,7;55,4
PRYva2023;PRY;Paraguay;2023;va;0,04;0,13;11;48,5;40,7;55,9
PERva2023;PER;Peru;2023;va;0,06;0,13;12;49,5;40,7;56,9
PHLva2023;PHL;Philippines;2023;va;-0,02;0,13;11;46,6;39,7;54,4
POLva2023;POL;Poland;2023;va;0,63;0,10;11;67,6;61,8;72,5
PRTva2023;PRT;Portugal;2023;va;1,21;0,11;10;88,2;80,9;92,6
PRIva2023;PRI;Puerto Rico;2023;va;0,45;0,20;3;61,8;51,5;72,1
QATva2023;QAT;Qatar;2023;va;-0,97;0,13;8;22,5;15,7;27,0
ROMva2023;ROM;Romania;2023;va;0,50;0,10;11;62,3;57,4;69,6
RUSva2023;RUS;Russian Federation;2023;va;-1,29;0,12;10;13,2;7,4;19,1
RWAva2023;RWA;Rwanda;2023;va;-0,90;0,12;10;24,5;18,1;28,9
REUva2023;REU;Reunion;2023;va;..;..;..;..;..;..
WSMva2023;WSM;Samoa;2023;va;1,02;0,25;3;80,9;66,2;93,6
SMRva2023;SMR;San Marino;2023;va;1,25;0,29;1;89,7;71,6;99,5
SAUva2023;SAU;Saudi Arabia;2023;va;-1,42;0,13;9;8,8;5,4;15,7
SENva2023;SEN;Senegal;2023;va;0,13;0,12;13;52,0;44,1;57,4
SRBva2023;SRB;Serbia;2023;va;-0,06;0,12;10;44,6;39,2;52,5
SYCva2023;SYC;Seychelles;2023;va;0,56;0,14;6;64,7;57,4;72,5
SLEva2023;SLE;Sierra Leone;2023;va;-0,30;0,12;13;38,7;33,8;42,2
SGPva2023;SGP;Singapore;2023;va;-0,07;0,12;10;43,6;38,7;52,0
SVKva2023;SVK;Slovak Republic;2023;va;0,91;0,10;11;76,5;69,6;82,8
SVNva2023;SVN;Slovenia;2023;va;1,08;0,10;11;82,8;76,0;89,7
SLBva2023;SLB;Solomon Islands;2023;va;0,34;0,23;4;57,8;45,6;69,6
SOMva2023;SOM;Somalia;2023;va;-1,66;0,12;9;4,4;0,5;7,4
ZAFva2023;ZAF;South Africa;2023;va;0,74;0,12;13;70,6;64,2;77,0
SSDva2023;SSD;South Sudan;2023;va;-1,68;0,16;8;2,9;0,0;8,8
ESPva2023;ESP;Spain;2023;va;1,19;0,11;10;87,7;79,4;92,6
LKAva2023;LKA;Sri Lanka;2023;va;-0,23;0,12;10;39,7;36,3;45,6
KNAva2023;KNA;St. Kitts and Nevis;2023;va;0,77;0,24;2;72,1;59,3;87,3
LCAva2023;LCA;St. Lucia;2023;va;0,86;0,24;2;74,5;61,8;89,7
VCTva2023;VCT;St. Vincent and the Grenadines;2023;va;0,83;0,24;2;73,0;61,3;89,2
SDNva2023;SDN;Sudan;2023;va;-1,60;0,12;12;5,9;2,5;9,3
SURva2023;SUR;Suriname;2023;va;0,35;0,14;7;58,8;51,5;65,7
SWEva2023;SWE;Sweden;2023;va;1,57;0,11;10;97,1;92,6;99,5
CHEva2023;CHE;Switzerland;2023;va;1,67;0,14;7;99,0;93,6;100,0
SYRva2023;SYR;Syrian Arab Republic;2023;va;-1,85;0,13;7;1,5;0,0;4,4
STPva2023;STP;Sao Tome and Principe;2023;va;0,25;0,14;8;56,9;47,1;61,8
TWNva2023;TWN;TaiwanSao Tome;2023;va;1,10;0,13;9;84,8;76,0;92,2
TJKva2023;TJK;Tajikistan;2023;va;-1,63;0,13;8;4,9;1,5;8,8
TZAva2023;TZA;Tanzania;2023;va;-0,53;0,12;13;32,8;27,9;36,8
THAva2023;THA;Thailand;2023;va;-0,45;0,12;11;35,8;30,9;39,2
TMPva2023;TMP;Timor-Leste;2023;va;0,43;0,14;6;61,3;55,4;69,6
TGOva2023;TGO;Togo;2023;va;-0,78;0,12;13;26,5;22,1;31,9
TONva2023;TON;Tonga;2023;va;0,87;0,25;3;75,0;61,8;91,7
TTOva2023;TTO;Trinidad and Tobago;2023;va;0,62;0,13;9;67,2;60,8;72,5
TUNva2023;TUN;Tunisia;2023;va;-0,21;0,12;13;40,7;36,3;46,1
TKMva2023;TKM;Turkmenistan;2023;va;-1,88;0,13;6;0,5;0,0;4,4
TUVva2023;TUV;Tuvalu;2023;va;1,22;0,27;2;89,2;72,5;98,0
TURva2023;TUR;Turkiye;2023;va;-0,86;0,13;10;25,0;19,1;30,4
UGAva2023;UGA;Uganda;2023;va;-0,70;0,12;13;29,4;24,5;33,8
UKRva2023;UKR;Ukraine;2023;va;-0,10;0,12;10;42,6;38,2;51,5
AREva2023;ARE;United Arab Emirates;2023;va;-1,09;0,13;8;18,6;12,3;24,5
GBRva2023;GBR;United Kingdom;2023;va;1,26;0,13;10;90,2;80,9;95,1
USAva2023;USA;United States;2023;va;0,88;0,13;11;75,5;69,6;84,3
URYva2023;URY;Uruguay;2023;va;1,28;0,13;10;92,2;82,4;95,6
UZBva2023;UZB;Uzbekistan;2023;va;-1,31;0,12;9;12,3;6,9;18,1
VUTva2023;VUT;Vanuatu;2023;va;0,63;0,23;4;68,1;56,9;78,9
VENva2023;VEN;Venezuela;2023;va;-1,53;0,12;12;6,9;2,5;11,8
VNMva2023;VNM;Viet Nam;2023;va;-1,24;0,12;10;15,2;7,8;20,1
VIRva2023;VIR;Virgin Islands;2023;va;..;..;..;..;..;..
WBGva2023;WBG;West Bank and Gaza;2023;va;-1,12;0,15;6;18,1;11,8;24,5
YEMva2023;YEM;Yemen;2023;va;-1,55;0,13;8;6,4;2,5;11,8
ZMBva2023;ZMB;Zambia;2023;va;-0,05;0,12;12;45,1;39,2;52,5
ZWEva2023;ZWE;Zimbabwe;2023;va;-1,09;0,12;13;19,1;12,7;24,5
